NOUN,NOUN_LEMMA,DERIV_TYPE,GENDER,VERB,VERB_LEMMA,TYPE_ONTO,TYPE_REL,EXAMPLE_N,EXAMPLE_V,V_TRANS,V_DYN,V_DUR,V_TEL,V_POST_PHASE,V_ROL_SUBJ,V_ROL_OBJ,V_ROL_OBQ,N_DYN,N_DUR,N_TEL,N_POST_PHASE,N_ROL_ARG1,N_ROL_ARG2,N_ROL_ARG3,PLURALIA_TANTUM
abattage_1,abattage,age,m,abattre_1,abattre,evt,tsp,L'abattage de l'avion de chasse a ensuite été confirmé par l'armée de l'air des forces armées ukrainiennes.,Le père qui a accidentellement abattu son fils par arme à feu était toujours en garde à vue ce mercredi.,y,y,n,y,n,cau,pat,na,y,n,y,n,pat,cau,na,n
abattage_2,abattage,age,m,abattre_2,abattre,evt,tsp,"Du coup, idéalement, pour éviter les surprises de budget, l'abattage de la cloison doit être couplé à la réfection du sol et du plafond …","II y a près d'un demi-siècle, Baj Atanas a abattu le mur en briques de terre crue de son ancienne maison pour la reconstruire à quelques mètres de là.",y,y,y,y,n,agt,pat,na,y,y,y,n,pat,agt,na,n
abattage_3,abattage,age,m,abattre_3,abattre,evt,tsp,"En fin de journée, abattage des prix pour écouler une partie de la surproduction","En ces temps de crise, les enseignes qui abattent les prix des biens de grande consommation ont le vent en poupe",y,y,n,y,y,agt,pat,na,y,n,y,n,pat,agt,na,n
abattage_4,abattage,age,m,abattre_4,abattre,evt,tsp,"D'un autre côté, une attitude détendue a tendance à faire baisser le score potentiel d'un joueur, car il n'est pas trop concentré sur l'abattage des quilles.","Puis, abattant le bras, il cingla Lalie au milieu du corps, l'enroula, la déroula comme une toupie.",y,y,n,y,n,agt,thm,na,y,y,y,n,thm,agt,na,n
abattage_5,abattage,age,m,abattre_5,abattre,dom,tsp,"Mais quand on fait de l'abattage de dossiers dans les tribunaux, on va au plus direct: la case prison.","Non sans difficulté, Petit et Grand Conseil abattirent un travail législatif considérable.",y,y,y,y,n,agt,res,na,y,y,n,n,res,na,na,n
abattant_1,abattant,ant,m,abattre_4,abattre,art,thm,"Faudrait faire un classement comparatif des dix objets plus sales qu'un abattant de chiotte, ça serait édifiant.","Puis, abattant le bras, il cingla Lalie au milieu du corps, l'enroula, la déroula comme une toupie.",y,y,n,y,n,agt,thm,na,na,na,na,na,na,na,na,n
abattement_1,abattement,ment,m,abattre_1,abattre,evt,tsp,"Le souvenir de l'abattement du bœuf est alors réitéré et unit en un seul crime la mort de Jos Langlois, celle de l'étudiant et celle du bœuf",Le père qui a accidentellement abattu son fils par arme à feu était toujours en garde à vue ce mercredi.,y,y,n,y,n,cau,pat,na,y,n,y,n,pat,cau,na,n
abattement_2,abattement,ment,m,abattre_2,abattre,evt,tsp,"En premier lieu, il faut déterminer si l'abattement du mur porteur est réalisable.","II y a près d'un demi-siècle, Baj Atanas a abattu le mur en briques de terre crue de son ancienne maison pour la reconstruire à quelques mètres de là.",y,y,y,y,n,agt,pat,na,y,y,y,n,pat,agt,na,n
abattement_3,abattement,ment,m,abattre_3,abattre,evt*fin,tsp,"Donc si vous vous déclarez chez votre mère, il est normal que les abattements de la taxe d'habitation soient calculés d'après les revenus cumulés de votre mère et vous.","En ces temps de crise, les enseignes qui abattent les prix des biens de grande consommation ont le vent en poupe",y,y,n,y,y,agt,pat,na,y,n,y,n,pat,agt,na,n
abattement_4,abattement,ment,m,abattre_6,abattre,sta,res,"Lorsque je découvre que je vais me produire dans une salle peu remplie, je ressens un abattement que je surmonte assez vite car le plaisir de chanter reste fort...","Cependant, il apprend l'assassinat du général vénézuélien Antonio José de Sucre, qu'il considérait comme son successeur naturel, ce qui l'abat profondément.",y,y,y,n,n,sti,exp,na,n,y,n,n,exp,na,na,n
abattement_5,abattement,ment,m,abattre_se_7,abattre,evt,tsp,"Une jolie séquence à retenir: l'abattement de la foudre au ralenti sur la voiture de Joe, avant que Barry ne lui sauve la mise.","Un éclair s'est abattu sur une maison de Huttwil (BE), mercredi, causant un incendie et des dégâts des eaux.",n,y,n,y,n,thm,na,des,y,n,y,n,des,thm,na,n
abatteur_1,abatteur,eur.m,m,abattre_1,abattre,anm,agt,"Après avoir quitté l'école, Muir a travaillé comme abatteur.",Le père qui a accidentellement abattu son fils par arme à feu était toujours en garde à vue ce mercredi.,y,y,n,y,n,cau,pat,na,na,na,na,na,na,na,na,n
abatteur_2,abatteur,eur.m,m,abattre_5,abattre,anm,agt,"Rien d'étonnant, car notre modèle de vie priorise les abatteurs de travail hypra organisés, les addicts aux agendas surbokés.","Non sans difficulté, Petit et Grand Conseil abattirent un travail législatif considérable.",y,y,y,y,n,agt,res,na,na,na,na,na,na,na,na,n
abatteuse_1,abatteuse,euse,f,abattre_1,abattre,anm,agt,Justine Boyer est donc désormais abatteuse de volailles.,Le père qui a accidentellement abattu son fils par arme à feu était toujours en garde à vue ce mercredi.,y,y,n,y,n,cau,pat,na,na,na,na,na,na,na,na,n
abatteuse_2,abatteuse,euse,f,abattre_2,abattre,art,ins,L'abatteuse ou abatteuse forestière est un engin lourd sur roues ou sur chenilles.,"II y a près d'un demi-siècle, Baj Atanas a abattu le mur en briques de terre crue de son ancienne maison pour la reconstruire à quelques mètres de là.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
abatteuse_3,abatteuse,euse,f,abattre_5,abattre,anm,agt,"Catherine, qui se décrit comme une «abatteuse de travail», se heurte rapidement aux limites de sa planification,","Non sans difficulté, Petit et Grand Conseil abattirent un travail législatif considérable.",y,y,y,y,n,agt,res,na,na,na,na,na,na,na,na,n
abattis_1,abattis,is,m,abattre_2,abattre,evt,tsp,"Resterait, néanmoins, énigmatique le fait que la loi sur l'homicide aurait prescrit l'abattis de la maison du coupable.","II y a près d'un demi-siècle, Baj Atanas a abattu le mur en briques de terre crue de son ancienne maison pour la reconstruire à quelques mètres de là.",y,y,y,y,n,agt,pat,na,y,y,y,n,pat,agt,na,n
abattis_2,abattis,is,m,abattre_2,abattre,nat-coll,res,Renforcement du rôle d'obstacle de la fortification par un abattis de branches d'arbres.,"II y a près d'un demi-siècle, Baj Atanas a abattu le mur en briques de terre crue de son ancienne maison pour la reconstruire à quelques mètres de là.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
abattoir_1,abattoir,oir,m,abattre_1,abattre,art*ist,agt,"Pendant la reconstruction qui fait suite au grand incendie, les abattoirs situés dans le sud de la ville connaissent un développement sans précédent grâce à la mise en service de wagons réfrigérés qui rendent possible l'expédition de la viande à New York.",Le père qui a accidentellement abattu son fils par arme à feu était toujours en garde à vue ce mercredi.,y,y,n,y,n,cau,pat,na,na,na,na,na,na,na,na,n
abdicataire_1,abdicataire,aire.m,m,abdiquer_1,abdiquer,anm,agt,"Un abdicataire sur huit se mariera; deux, à Marseille, plus «sans-culottes» que d'autres, ont pour témoins les représentants Barras et Fréron",Le roi Léopold III de Belgique a abdiqué son trône en 1951.,y,y,n,y,n,agt,tpc,na,na,na,na,na,na,na,na,n
abdicataire_1,abdicataire,aire.f,f,abdiquer_1,abdiquer,anm,agt,"L’Abdicataire (Yin): En ne reconnaissant pas sa capacité à briller, elle se désinvesti, baisse les bras, s’oublie elle-même.",Le roi Léopold III de Belgique a abdiqué son trône en 1951.,y,y,n,y,n,agt,tpc,na,na,na,na,na,na,na,na,n
abdication_1,abdication,ion,f,abdiquer_1,abdiquer,evt,tsp,"Âgé de dix ans, Henri d'Artois, petit-fils de Charles X, devient roi de France après l'abdication de son oncle.",Le roi Léopold III de Belgique a abdiqué son trône en 1951.,y,y,n,y,n,agt,tpc,na,y,n,y,n,tpc,agt,na,n
aberrance_1,aberrance,ance,f,aberrer_1,aberrer,ppt,cau,"On y a apprécié mon aberrance, peut-être autant que j'ai apprécié ce qu'on m'y a enseigné.","Vous aberrez, mes compères. Il convient de punir ces mauvais augures... Que les porteurs de fausses nouvelles me soient amenés et qu’on leur coupe les oreilles...",n,y,y,n,n,exp,na,na,n,na,na,na,pvt,na,na,n
aberrance_2,aberrance,ance,f,aberrer_1,aberrer,cog,res,"Alors, celle de Séralini qui ne montre rien, qui contient une aberrance ou je ne sais pas quoi encore; aberrance soit dit en passant qui n'a pas fait titiller le comité de lecture de la revue...","Vous aberrez, mes compères. Il convient de punir ces mauvais augures... Que les porteurs de fausses nouvelles me soient amenés et qu’on leur coupe les oreilles...",n,y,y,n,n,exp,na,na,na,na,na,na,na,na,na,n
aberration_1,aberration,ion,f,aberrer_1,aberrer,cog*evt,tsp,"Ce sont les individus qui font un système et si le système laisse de telles aberrations se produire, c'est bien sur ces mêmes individus qu'il nous faut porter nos interrogations.","Vous aberrez, mes compères. Il convient de punir ces mauvais augures... Que les porteurs de fausses nouvelles me soient amenés et qu’on leur coupe les oreilles...",n,y,y,n,n,exp,na,na,y,y,n,n,na,na,na,n
aberration_2,aberration,ion,f,aberrer_1,aberrer,ppt,res,"Mais parfois, certains prennent conscience de l'aberration de la situation: je fais des efforts à la maison, mais au bureau, comme il y a un patron qui est peu sensible à l'environnement, j'oublie tout et annule en fait tous mes efforts faits à titre personnel.","Vous aberrez, mes compères. Il convient de punir ces mauvais augures... Que les porteurs de fausses nouvelles me soient amenés et qu’on leur coupe les oreilles...",n,y,y,n,n,exp,na,na,n,na,na,na,pvt,na,na,n
abêtissement_1,abêtissement,ment,m,abêtir_1,abêtir,evt*sta,tsp,Nous pourrions aussi évoquer l’abêtissement programmé des masses par ce «pain et ces jeux» modernes que sont les divertissements les plus échevelés et la consommation la plus folle…,Merci pour votre analyse concernant la sous-culture dont nos gouvernants veulent nourrir les gens. Tout est fait pour les abêtir et les décerveler.,y,y,y,v,n,cau,pat,na,y,y,v,n,pat,cau,na,n
abêtissement_2,abêtissement,ment,m,abêtir_se_1,abêtir,evt*sta,tsp,"Dans notre monde moderne, alors que toutes les connaissances semblent à portée de clic, notre propension au zapping et à la passivité nous pousserait à un abêtissement général.",Pourquoi les Français s'abêtissent-ils encore plus vite que leurs voisins européens?,n,y,y,v,n,pat,na,na,y,y,v,n,pat,na,na,n
abêtisseur_1,abêtisseur,eur.m,m,abêtir_1,abêtir,anm,cau,"Mais le métier d'abêtisseur biblique, que des bourgeois anglais des deux sexes peuvent entreprendre par désœuvrement et par boutade, est forcément irrégulier, comme tout travail d'amateur.",Merci pour votre analyse concernant la sous-culture dont nos gouvernants veulent nourrir les gens. Tout est fait pour les abêtir et les décerveler.,y,y,y,v,n,cau,pat,na,na,na,na,na,pat,na,na,n
abêtissoir_1,abêtissoir,oir,m,abêtir_1,abêtir,nat,loc,"De l'abêtissoir grenoblois et du cortège de figures pesantes, hypocrites et veules qui peuplèrent son enfance, Stendhal a tiré une vision de la société qui le conduit à diviser «le monde [...] en deux moitiés à la vérité fort inégales",Merci pour votre analyse concernant la sous-culture dont nos gouvernants veulent nourrir les gens. Tout est fait pour les abêtir et les décerveler.,y,y,y,v,n,cau,pat,na,na,na,na,na,na,na,na,n
abreuvage_1,abreuvage,age,m,abreuver_1,abreuver,evt,tsp,"Cependant certains forages agricoles, servant notamment à l'abreuvage des animaux, fonctionnent en continu.",Elle a abreuvé son cheval.,y,y,y,y,n,agt,ben,na,y,y,y,n,ben,agt,na,n
